P_Pos, P_Vel, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z, Latitude, Longitude, GPS_Altitude, Lock, Satellites
0.68,-0.28,1.730797,1013.607483,0.091385,-0.002373,-0.114591,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.68,-0.29,1.908134,1013.586121,0.089407,-0.005221,-0.052562,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.30,1.908134,1013.586121,0.106852,-0.029620,-0.049484,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.30,1.881203,1013.589355,0.134908,-0.027809,0.007433,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.29,1.881203,1013.589355,0.117358,-0.022224,0.033899,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.29,1.836998,1013.594666,0.131002,-0.027603,0.007941,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.28,1.836998,1013.594666,0.119274,-0.024825,0.037477,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.28,1.931007,1013.583374,0.099601,0.007674,0.025009,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.28,1.931007,1013.583374,0.099731,0.035143,0.014865,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.28,1.780083,1013.601563,0.090831,0.009284,-0.021363,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.28,1.780083,1013.601563,0.112633,0.021353,-0.029375,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.27,1.832932,1013.595154,0.090099,0.008709,0.064937,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.27,1.832932,1013.595154,0.083348,0.044669,0.025555,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.28,1.886284,1013.588745,0.114649,0.018682,-0.077385,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.26,1.886284,1013.588745,0.101489,-0.014552,0.083339,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.25,1.846649,1013.593506,0.085089,-0.021081,0.097713,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
0.67,-0.24,1.846649,1013.593506,0.110954,0.027328,0.009488,0.0000000000,0.0000000000,0.000000,NOT LOCKED,0
